Date,GC=F,return
2016-01-05,1078.4000244140625,0.0030648260146564294
2016-01-06,1091.9000244140625,0.012440836582072724
2016-01-07,1107.699951171875,0.01436642906297819
2016-01-08,1097.800048828125,-0.008977527848297442
2016-01-11,1096.5,-0.0011849327360058722
2016-01-12,1085.5999755859375,-0.009990481826287485
2016-01-13,1087.5,0.0017486769311837599
2016-01-14,1073.9000244140625,-0.012584579364650109
2016-01-15,1091.5,0.01625599239180944
2016-01-19,1089.9000244140625,-0.0014669256944553847
2016-01-20,1107.0999755859375,0.0156579905176128
2016-01-21,1099.0999755859375,-0.007252320951077914
2016-01-22,1097.199951171875,-0.0017302053011144954
2016-01-25,1106.199951171875,0.008169238859200036
2016-01-26,1121.699951171875,0.013914673700546146
2016-01-27,1116.0999755859375,-0.005004904333480651
2016-01-28,1115.5999755859375,-0.0004480889181392674
2016-01-29,1116.4000244140625,0.0007168896616390326
2016-02-01,1127.9000244140625,0.01024827376073344
2016-02-02,1127.300048828125,-0.0005320819267533649
2016-02-03,1141.300048828125,0.012342569977745608
2016-02-04,1157.5999755859375,0.01418086888457877
2016-02-05,1157.800048828125,0.00017281959106493736
2016-02-08,1197.9000244140625,0.03404834929990521
2016-02-09,1198.699951171875,0.0006675513608169836
2016-02-10,1194.699951171875,-0.003342528526259136
2016-02-11,1247.9000244140625,0.043567091125364873
2016-02-12,1239.0999755859375,-0.007076868158539852
2016-02-16,1207.9000244140625,-0.025501955096164056
2016-02-17,1211.0999755859375,0.0026456825451971347
2016-02-18,1226.0999755859375,0.012309362957954846
2016-02-19,1230.4000244140625,0.003500959267383596
2016-02-22,1209.5,-0.017132288543675846
2016-02-23,1222.300048828125,0.010527318680876351
2016-02-24,1238.699951171875,0.013328033410348807
2016-02-25,1238.199951171875,-0.0004037304909403373
2016-02-26,1219.800048828125,-0.0149717217583961
2016-02-29,1233.9000244140625,0.011492953798612126
2016-03-01,1230.300048828125,-0.0029218229364777115
2016-03-02,1241.0999755859375,0.008739981710060525
2016-03-03,1257.4000244140625,0.013048052901100447
2016-03-04,1269.9000244140625,0.009892060054906658
2016-03-07,1263.199951171875,-0.005290031133051419
2016-03-08,1262.0999755859375,-0.0008711643665365201
2016-03-09,1256.5999755859375,-0.004367339380404757
2016-03-10,1272.0,0.012180823359887589
2016-03-11,1258.699951171875,-0.010511061395113142
2016-03-14,1244.4000244140625,-0.011425897862328808
2016-03-15,1230.4000244140625,-0.011314166048867756
2016-03-16,1229.300048828125,-0.0008943982001956458
2016-03-17,1264.5,0.02823184571645773
2016-03-18,1253.800048828125,-0.00849780832604257
2016-03-21,1243.800048828125,-0.008007729856973357
2016-03-22,1248.199951171875,0.0035312254541069133
2016-03-23,1223.699951171875,-0.019823458291528016
2016-03-24,1221.4000244140625,-0.0018812543119597132
2016-03-28,1219.9000244140625,-0.0012288536097643887
2016-03-29,1235.5999755859375,0.01278775411769549
2016-03-30,1226.9000244140625,-0.007065979589434121
2016-03-31,1234.199951171875,0.005932264628274546
2016-04-01,1222.199951171875,-0.009770473814590914
2016-04-04,1218.0,-0.0034423042399615686
2016-04-05,1228.4000244140625,0.008502360171509305
2016-04-06,1222.5,-0.004814587092324561
2016-04-07,1236.199951171875,0.0111441763775809
2016-04-08,1242.5,0.005083360244175877
2016-04-11,1256.699951171875,0.011363719796072987
2016-04-12,1259.4000244140625,0.0021462376732565664
2016-04-13,1246.800048828125,-0.010055128384175412
2016-04-14,1225.0,-0.01763946407711058
2016-04-15,1233.0999755859375,0.006590460098725617
2016-04-18,1233.5999755859375,0.00040539994060510945
2016-04-19,1253.0,0.015603971877910185
2016-04-20,1253.199951171875,0.00015956521921236389
2016-04-21,1249.0,-0.003357009989702909
2016-04-22,1228.699951171875,-0.01638657099171672
2016-04-25,1238.9000244140625,0.008267248694073434
2016-04-26,1242.199951171875,0.002660052989486988
2016-04-27,1249.199951171875,0.005619345503985562
2016-04-28,1265.5,0.012963993663771956
2016-04-29,1289.199951171875,0.018554532081355487
2016-05-02,1294.699951171875,0.004257137284214135
2016-05-03,1290.699951171875,-0.003094301340338286
2016-05-04,1273.300048828125,-0.013572675083321833
2016-05-05,1271.4000244140625,-0.0014933192222766592
2016-05-06,1292.9000244140625,0.016769101438875392
2016-05-09,1265.5999755859375,-0.02134147742080195
2016-05-10,1263.9000244140625,-0.0013441007533533627
2016-05-11,1274.5999755859375,0.008430186756368665
2016-05-12,1270.300048828125,-0.003379253258223161
2016-05-13,1271.9000244140625,0.0012587331847161139
2016-05-16,1273.4000244140625,0.0011786431028753658
2016-05-17,1276.199951171875,0.00219636641841862
2016-05-18,1273.699951171875,-0.00196086191362997
2016-05-19,1254.199951171875,-0.015428132082826979
