Date,GLD ,return
2010-01-05,109.69999694824219,-0.0009112174071558337
2010-01-06,111.51000213623047,0.016364952672508887
2010-01-07,110.81999969482422,-0.006207031449163178
2010-01-08,111.37000274658203,0.00495075538137829
2010-01-11,112.8499984741211,0.013201473675458084
2010-01-12,110.48999786376953,-0.02113448995131151
2010-01-13,111.54000091552734,0.009458279378539308
2010-01-14,112.02999877929688,0.004383402504944763
2010-01-15,110.86000061035156,-0.010498532177150062
2010-01-19,111.5199966430664,0.005935767413319545
2010-01-20,108.94000244140625,-0.023406622544498178
2010-01-21,107.37000274658203,-0.01451645533950801
2010-01-22,107.16999816894531,-0.0018644973871885428
2010-01-25,107.4800033569336,0.002888473341000015
2010-01-26,107.55999755859375,0.0007439937221865503
2010-01-27,106.52999877929688,-0.009622184538243794
2010-01-28,106.4800033569336,-0.0004694185510533905
2010-01-29,105.95999908447266,-0.004895549849721357
2010-02-01,108.3499984741211,0.022305058135940522
2010-02-02,109.12999725341797,0.007173093057516182
2010-02-03,108.69999694824219,-0.003948040904900219
2010-02-04,104.37000274658203,-0.0406494619043355
2010-02-05,104.68000030517578,0.0029657764294868027
2010-02-08,104.04000091552734,-0.006132631197052165
2010-02-09,105.41000366210938,0.01308209362845793
2010-02-10,105.12000274658203,-0.002754962144308314
2010-02-11,107.12999725341797,0.018940443772260875
2010-02-12,107.04000091552734,-0.0008404197035730865
2010-02-16,109.62000274658203,0.023817259740401706
2010-02-17,109.25,-0.00338103069775341
2010-02-18,109.9800033569336,0.006659727627096444
2010-02-19,109.47000122070312,-0.004648011335301192
2010-02-22,109.06999969482422,-0.003660675124824127
2010-02-23,107.88999938964844,-0.010877691236587123
2010-02-24,107.36000061035156,-0.0049245049976189585
2010-02-25,108.30999755859375,0.008809784398268496
2010-02-26,109.43000030517578,0.010287614912394953
2010-03-01,109.43000030517578,0.0
2010-03-02,111.0199966430664,0.01442525680569016
2010-03-03,111.62999725341797,0.0054794713974865225
2010-03-04,110.83000183105469,-0.007192294113451878
2010-03-05,110.80999755859375,-0.0001805113929827648
2010-03-08,109.87999725341797,-0.008428164684993255
2010-03-09,109.72000122070312,-0.0014571590358533955
2010-03-10,108.47000122070312,-0.011458028889065516
2010-03-11,108.5999984741211,0.0011977451434267712
2010-03-12,107.94999694824219,-0.006003264758673447
2010-03-15,108.36000061035156,0.0037908941588112085
2010-03-16,110.4000015258789,0.018651124814839434
2010-03-17,109.58999633789062,-0.007364051605517102
2010-03-18,110.33999633789062,0.006820378596121279
2010-03-19,108.27999877929688,-0.018846021182444456
2010-03-22,107.75,-0.004906724488664302
2010-03-23,108.31999969482422,0.005276077362753657
2010-03-24,106.30000305175781,-0.018824492289792633
2010-03-25,106.77999877929688,0.004505317583276473
2010-03-26,108.58999633789062,0.016808656864527635
2010-03-29,108.75,0.0014723814641710547
2010-03-30,107.97000122070312,-0.007198247903797274
2010-03-31,108.94999694824219,0.009035611315005328
2010-04-01,110.26000213623047,0.011952199156018703
2010-04-05,110.88999938964844,0.005697480924987118
2010-04-06,111.02999877929688,0.0012617106108131124
2010-04-07,112.48999786376953,0.013063885742510774
2010-04-08,112.6500015258789,0.001421370609229975
2010-04-09,113.63999938964844,0.008749871191504223
2010-04-12,113.01000213623047,-0.00555922233998455
2010-04-13,112.69000244140625,-0.0028356216460236707
2010-04-14,113.02999877929688,0.003012551773767293
2010-04-15,113.6500015258789,0.005470304321850955
2010-04-16,111.23999786376953,-0.021433553562709227
2010-04-19,111.1500015258789,-0.0008093560236553409
2010-04-20,111.45999908447266,0.0027851197891251185
2010-04-21,112.30999755859375,0.007597109309406448
2010-04-22,111.83999633789062,-0.004193637495525288
2010-04-23,113.19000244140625,0.011998598472109824
2010-04-26,112.75,-0.0038948658306392175
2010-04-27,114.62999725341797,0.016536547783718297
