Date,Close
2010-09-09,100.0
2010-09-10,100.18241041174305
2010-09-13,100.3150915931538
2010-09-14,100.58051387071059
2010-09-15,101.36003453485345
2010-09-16,101.36003453485345
2010-09-17,101.12782499225352
2010-09-20,101.89081917523173
2010-09-21,102.04011670991014
2010-09-22,102.48793941342076
2010-09-23,101.54251484712107
2010-09-24,102.23914347492085
2010-09-27,101.24395972092115
2010-09-28,100.54731112154293
2010-09-29,99.93362445903236
2010-09-30,99.46918540225406
2010-10-01,99.78435688172162
2010-10-04,99.4526189779325
2010-10-05,100.87903903954283
2010-10-06,100.9619710190428
2010-10-07,100.84586624774283
2010-10-08,102.60403419893149
2010-10-11,103.06848324149902
2010-10-12,102.86944649069909
2010-10-13,103.88120665480953
2010-10-14,104.163155413531
2010-10-15,104.09681981572025
2010-10-18,105.07540718803072
2010-10-19,104.79344844352003
2010-10-20,105.91663004378469
2010-10-21,106.15064701423404
2010-10-22,105.96676869147517
2010-10-25,106.20081561929217
2010-10-26,105.064243075679
2010-10-27,105.4319298206722
2010-10-28,105.61576820027419
2010-10-29,106.25090433803655
2010-11-01,106.33445543646836
2010-11-02,107.00304396812896
2010-11-03,107.48773420545221
2010-11-04,108.64104293180374
2010-11-05,108.64104293180374
2010-11-08,108.22317759596318
2010-11-09,108.32347486292258
2010-11-10,107.92229578087425
2010-11-11,107.57133523283015
2010-11-12,107.52116662777202
2010-11-15,107.45434172628931
2010-11-16,106.0503697188531
2010-11-17,105.74952784692104
2010-11-18,107.00304396812896
2010-11-19,107.05320258739788
2010-11-22,106.2342080984551
2010-11-23,104.64638772562766
2010-11-24,104.62964155710009
2010-11-26,103.84409946205555
2010-11-29,103.84409946205555
2010-11-30,102.07241075225846
2010-12-01,103.8775518559538
2010-12-02,104.22853237557632
2010-12-03,104.17833381315052
2010-12-06,103.72712592709314
2010-12-07,103.8775518559538
2010-12-08,104.67981016215823
2010-12-09,105.08094930104967
2010-12-10,105.63248441143409
2010-12-13,105.61576820027419
2010-12-14,106.2174918872952
2010-12-15,106.3679078303666
2010-12-16,107.80533223170106
2010-12-17,108.32347486292258
2010-12-20,108.5908643409564
2010-12-21,108.42373218672508
2010-12-22,108.55743191863658
2010-12-23,109.04215211332753
2010-12-27,108.08945789247322
2010-12-28,108.23991377870152
2010-12-29,107.63817012010209
2010-12-30,107.43763550091865
2010-12-31,107.52116662777202
2011-01-03,108.25659004670453
2011-01-04,108.55743191863658
2011-01-05,108.30678860913035
2011-01-06,108.12289031479301
2011-01-07,107.80533223170106
2011-01-10,107.57133523283015
2011-01-11,107.03651633360565
2011-01-12,108.5908643409564
2011-01-13,109.44333119537586
2011-01-14,109.52682237907234
2011-01-18,109.47672367453876
2011-01-19,110.0357581126299
2011-01-20,110.7934797988982
2011-01-21,110.97867624583455
2011-01-24,112.10684075492168
2011-01-25,112.3088632566994
2011-01-26,111.31542701581381
2011-01-27,108.06568172833242
2011-01-28,108.09938376696124
2011-01-31,106.29772770370485
2011-02-01,105.94414089309502
2011-02-02,105.72523242174061
2011-02-03,105.91048878341232
2011-02-04,107.1059375402864
2011-02-07,108.68871508955604
2011-02-08,108.84025942680971
2011-02-09,108.41931846788835
2011-02-10,108.73923319723701
2011-02-11,108.99178379248491
2011-02-14,108.67186906313626
2011-02-15,107.62788475720203
2011-02-16,107.35853806448044
2011-02-17,107.76264298277123
2011-02-18,108.26779410221314
2011-02-22,107.88047529560683
2011-02-23,108.01521354959758
2011-02-24,106.1630693360279
2011-02-25,105.80942261068273
2011-02-28,106.1630693360279
2011-03-01,105.64101227543084
2011-03-02,105.08539297725407
2011-03-03,105.32110753187138
2011-03-04,104.4455435469783
2011-03-07,103.9067503036429
2011-03-08,104.47921562823946
2011-03-09,104.395055396665
2011-03-10,103.53629749503482
2011-03-11,103.53629749503482
2011-03-14,103.30054299726059
2011-03-15,102.13876632164767
2011-03-16,100.57284478458706
2011-03-17,101.75148745819824
2011-03-18,102.0377500778642
2011-03-21,103.21638276568615
2011-03-22,102.59338934761941
2011-03-23,102.55972725214745
2011-03-24,102.94697615822923
2011-03-25,102.50922911604496
2011-03-28,102.13876632164767
2011-03-29,103.18272067021421
2011-03-30,104.34454727477328
2011-03-31,103.72151391354963
2011-04-01,104.52974372170965
2011-04-04,104.83283239621694
2011-04-05,103.83938616954211
2011-04-06,103.99093050679578
2011-04-07,104.61394389644096
2011-04-08,104.22668500457
2011-04-11,104.71497012601367
2011-04-12,105.89358284225719
2011-04-13,106.0620031632983
2011-04-14,106.58398033758158
2011-04-15,108.06568172833242
2011-04-18,107.76264298277123
2011-04-19,107.526888484997
2011-04-20,107.2911839161689
2011-04-21,106.53347221568986
2011-04-25,106.70182263620643
2011-04-26,107.47639034889448
2011-04-27,108.69026288688568
2011-04-28,109.50519315961455
2011-04-29,110.18430671311657
2011-05-02,110.659660237516
2011-05-03,111.55946971864338
2011-05-04,112.84976350156093
2011-05-05,111.84808898456606
2011-05-06,110.81241285526566
2011-05-09,110.59177684237562
2011-05-10,111.59342140200282
2011-05-11,111.91598236549567
2011-05-12,113.47790958686691
2011-05-13,113.51193117075091
2011-05-16,113.6477179326101
2011-05-17,114.46264820533898
2011-05-18,114.39470489546326
2011-05-19,114.53054158626858
2011-05-20,114.36078316947153
2011-05-23,113.83446217687609
2011-05-24,113.76658876752495
2011-05-25,112.69696095486512
2011-05-26,112.3744099771615
2011-05-27,112.39134587568431
2011-05-31,113.74958296847757
2011-06-01,112.73094259559223
2011-06-02,112.0687948979807
2011-06-03,111.08407625108707
2011-06-06,111.2029371002127
2011-06-07,110.4559401515703
2011-06-08,110.09939754735036
2011-06-09,110.37105095738255
2011-06-10,109.84473995057633
2011-06-13,109.96356085654506
