Date,QQQ,return
2016-01-05,101.42932891845703,-0.0017367227569926524
2016-01-06,100.45503234863281,-0.009652101111097315
2016-01-07,97.30941772460938,-0.03181441295107112
2016-01-08,96.51141357421875,-0.008234498368668141
2016-01-11,96.8083724975586,0.003072206554159475
2016-01-12,97.9311294555664,0.011530987675439388
2016-01-13,94.55357360839844,-0.03509788060682224
2016-01-14,96.5671157836914,0.021071676591549737
2016-01-15,93.5699691772461,-0.03152877706652901
2016-01-19,93.77408599853516,0.002179059291364821
2016-01-20,93.48645782470703,-0.0030719594651355173
2016-01-21,93.57923126220703,0.0009918809329378122
2016-01-22,96.28874206542969,0.028542936507551485
2016-01-25,94.85977172851562,-0.014951693103449471
2016-01-26,95.7134017944336,0.00895861426099563
2016-01-27,93.3287353515625,-0.02523027910630311
2016-01-28,94.64634704589844,0.014019233375224073
2016-01-29,96.6227798461914,0.02066724705891401
2016-02-01,96.88258361816406,0.002685237488314733
2016-02-02,94.78553771972656,-0.021882925195590992
2016-02-03,94.33087158203125,-0.0048083295930271015
2016-02-04,94.32157897949219,-9.85155773902325e-05
2016-02-05,91.04606628417969,-0.03534439542133246
2016-02-08,89.65420532226562,-0.015405494157527781
2016-02-09,89.37584686279297,-0.0031096308176335363
2016-02-10,89.71914672851562,0.0038337228674833377
2016-02-11,89.58924865722656,-0.0014488791083503642
2016-02-12,90.95329284667969,0.015110789213655407
2016-02-16,93.00394439697266,0.02229579579456701
2016-02-17,95.11029052734375,0.022395266010707217
2016-02-18,94.02465057373047,-0.011480183098100564
2016-02-19,94.30298614501953,0.002955867538015536
2016-02-22,95.83404541015625,0.016105146333386833
2016-02-23,94.25662994384766,-0.016596833822652157
2016-02-24,95.15670776367188,0.009503919899523006
2016-02-25,96.0938720703125,0.009800459779879
2016-02-26,95.97325134277344,-0.001256026968626837
2016-02-29,95.11029052734375,-0.009032349661424898
2016-03-01,98.1631088256836,0.03159329976920056
2016-03-02,98.2002182006836,0.00037796645640256383
2016-03-03,98.01463317871094,-0.0018916516870013291
2016-03-04,98.0517578125,0.00037869452326875233
2016-03-07,97.44859313964844,-0.006170491088143691
2016-03-08,96.6413345336914,-0.008318445687390421
2016-03-09,97.26303100585938,0.006412425019327984
2016-03-10,97.11457824707031,-0.0015274679858783783
2016-03-11,98.81262969970703,0.017333927097812212
2016-03-14,98.97964477539062,0.0016887931120772143
2016-03-15,98.94254302978516,-0.0003749124486899343
2016-03-16,99.82406616210938,0.008869989939588744
2016-03-17,99.76836395263672,-0.000558159554315401
2016-03-18,99.92473602294922,0.0015661242405806976
2016-03-21,100.31561279296875,0.0039040809587527
2016-03-22,100.62274932861328,0.003057024767141982
2016-03-23,99.79444885253906,-0.00826580951760278
2016-03-24,99.8223648071289,0.0002796954250500254
2016-03-28,99.6827621459961,-0.0013994896878090244
2016-03-29,101.28350067138672,0.015930757301868895
2016-03-30,101.7767333984375,0.004858003826721075
2016-03-31,101.6278076171875,-0.0014643312004516769
2016-04-01,102.70740509033203,0.010567023712204542
2016-04-04,102.31654357910156,-0.003812842229291422
2016-04-05,101.33002471923828,-0.009688614790587753
2016-04-06,102.99590301513672,0.01630644947838466
2016-04-07,101.51616668701172,-0.014471147383412913
2016-04-08,101.44168853759766,-0.0007339272744557466
2016-04-11,101.06940460205078,-0.003676681105734983
2016-04-12,101.91634368896484,0.008344861734157435
2016-04-13,103.21925354003906,0.012703084099764145
2016-04-14,103.22856903076172,9.02454732918222e-05
2016-04-15,102.96797180175781,-0.0025276599374503997
2016-04-18,103.51708221435547,0.0053186581436171065
2016-04-19,102.88423156738281,-0.006132253894584896
2016-04-20,102.96797180175781,0.0008135957509677427
2016-04-21,102.9772720336914,9.031752097512743e-05
2016-04-22,101.423095703125,-0.015207470516369927
2016-04-25,101.423095703125,0.0
2016-04-26,100.9298324584961,-0.004875286225081995
2016-04-27,100.12017822265625,-0.008054300619696652
2016-04-28,98.91031646728516,-0.012157701357888243
2016-04-29,98.3891372680664,-0.00528314094738214
2016-05-02,99.31980895996094,0.009414632810888297
2016-05-03,98.3984375,-0.009320112290967587
2016-05-04,97.76559448242188,-0.006452204378842011
2016-05-05,97.73766326904297,-0.00028573655385786173
2016-05-06,98.25885772705078,0.005318417733966097
2016-05-09,98.53804779052734,0.0028373439109153553
2016-05-10,99.88751983642578,0.013602005708955468
2016-05-11,98.98477172851562,-0.009078733909376788
2016-05-12,98.5473403930664,-0.0044289715307298866
2016-05-13,98.18441009521484,-0.003689599758750618
2016-05-16,99.412841796875,0.012433852355956856
2016-05-17,98.16577911376953,-0.012623625348550145
2016-05-18,98.51942443847656,0.0035960580605036247
2016-05-19,98.00755310058594,-0.005209183001682201
2016-05-20,99.08711242675781,0.010954838575855755
2016-05-23,98.95682525634766,-0.0013157402415864428
2016-05-24,100.93915557861328,0.01983426880981472
2016-05-25,101.66505432128906,0.007165713378997475
2016-05-26,101.96285247802734,0.002924926879908624
2016-05-27,102.49332427978516,0.005189111921181695
2016-05-31,102.68877410888672,0.001905135874450782
2016-06-01,102.69807434082031,9.056307168799729e-05
2016-06-02,102.91212463378906,0.002082098761290124
2016-06-03,102.42820739746094,-0.004713327648894482
2016-06-06,102.80046081542969,0.003627698113076862
2016-06-07,102.53986358642578,-0.002538199641694404
2016-06-08,102.71668243408203,0.0017229062344033365
2016-06-09,102.54918670654297,-0.0016319884588294543
2016-06-10,101.38585662841797,-0.011408953338629213
2016-06-13,100.53899383544922,-0.008387949836725708
2016-06-14,100.53899383544922,0.0
2016-06-15,100.25045776367188,-0.002874018212489743
2016-06-16,100.54827117919922,0.0029662900304579065
2016-06-17,99.36971282958984,-0.011790555099318967
2016-06-20,99.99491882324219,0.006272005600993307
2016-06-21,100.3121566772461,0.0031675178568003996
2016-06-22,100.06956481933594,-0.002421298455949993
2016-06-23,101.49723815917969,0.014165995526846971
2016-06-24,97.31684875488281,-0.04205945070782657
2016-06-27,95.38519287109375,-0.02004878173647904
2016-06-28,97.47545623779297,0.021677260006887033
2016-06-29,99.2017593383789,0.017555133979644953
2016-06-30,100.34949493408203,0.01150329278667846
2016-07-01,100.85343170166016,0.00500924941560254
2016-07-05,100.23754119873047,-0.006125510457540733
2016-07-06,101.05870056152344,0.00815876054785884
2016-07-07,101.3572998046875,0.0029503543121343068
2016-07-08,102.92498779296875,0.015348553050525933
2016-07-11,103.51283264160156,0.0056951428403290115
2016-07-12,104.03538513183594,0.005035491029512326
2016-07-13,103.783447265625,-0.0024245924849607913
2016-07-14,104.49263763427734,0.00681012522279877
2016-07-15,104.32466888427734,-0.0016087630764645379
2016-07-18,105.01518249511719,0.006597082310288805
2016-07-19,104.63259887695312,-0.003649779075706795
2016-07-20,105.85501098632812,0.011615181086943246
2016-07-21,105.61241912841797,-0.002294367167538872
2016-07-22,106.0510025024414,0.004144164337262079
2016-07-25,106.06029510498047,8.762006220152823e-05
2016-07-26,106.18162536621094,0.0011433205483425005
2016-07-27,106.91881561279297,0.006918739200194308
2016-07-28,107.29206085205078,0.0034848428160667248
2016-07-29,107.52533721923828,0.0021718581546780677
2016-08-01,108.09452056884766,0.005279519961973859
2016-08-02,107.27337646484375,-0.007625538386711275
2016-08-03,107.62796020507812,0.0032999707447885296
2016-08-04,107.93590545654297,0.002857115778678827
2016-08-05,108.9716796875,0.009550446132095155
2016-08-08,108.85040283203125,-0.0011135406162462484
2016-08-09,109.1023178100586,0.002311648961898416
2016-08-10,108.82240295410156,-0.0025689147051592242
2016-08-11,109.28894805908203,0.004278051686548484
2016-08-12,109.36360168457031,0.0006828516610176848
2016-08-15,109.8301773071289,0.0042572040993232516
2016-08-16,109.2236557006836,-0.005537663030751752
2016-08-17,109.41957092285156,0.001792100104149347
2016-08-18,109.44759368896484,0.0002560709946245615
