Date,SPY,return
2016-01-05,169.75814819335938,0.0016896553541513356
2016-01-06,167.61680603027344,-0.012694308761417982
2016-01-07,163.59542846679688,-0.02428397724321637
2016-01-08,161.79971313476562,-0.011037248760310382
2016-01-11,161.9599151611328,0.0009896356768464122
2016-01-12,163.2667236328125,0.00803633742685993
2016-01-13,159.1947021484375,-0.025257209870149414
2016-01-14,161.8081512451172,0.01628338698454524
2016-01-15,158.33474731445312,-0.021699936145300112
2016-01-19,158.54554748535156,0.0013304721401334657
2016-01-20,156.5137176513672,-0.012898259010538168
2016-01-21,157.39051818847656,0.005586435079775424
2016-01-22,160.6194610595703,0.020307877435983054
2016-01-25,158.19142150878906,-0.015232143123949826
2016-01-26,160.349609375,0.013550661803733986
2016-01-27,158.60450744628906,-0.010942761045766528
2016-01-28,159.43072509765625,0.005195773458657576
2016-01-29,163.31723022460938,0.024085004642871412
2016-02-01,163.2582244873047,-0.0003613605192639165
2016-02-02,160.31593322753906,-0.018186695615293402
2016-02-03,161.2770233154297,0.005977077107047246
2016-02-04,161.52992248535156,0.0015668759607112262
2016-02-05,158.4527587890625,-0.019233906960783014
2016-02-08,156.31979370117188,-0.01355262851470958
2016-02-09,156.32823181152344,5.397833771553908e-05
2016-02-10,156.19342041015625,-0.00086273324597254
2016-02-11,154.16165161132812,-0.01309337599750694
2016-02-12,157.33993530273438,0.02040692004042831
2016-02-16,159.99559020996094,0.016737595959264988
2016-02-17,162.60906982421875,0.016202721868543886
2016-02-18,161.9430389404297,-0.004104313611065065
2016-02-19,161.86715698242188,-0.00046868171757585115
2016-02-22,164.2108612060547,0.01437536082468452
2016-02-23,162.13697814941406,-0.01270981893734586
2016-02-24,162.8788604736328,0.004565215134358782
2016-02-25,164.85162353515625,0.012039080801620677
2016-02-26,164.4722442626953,-0.0023039899465628053
2016-02-29,163.1823272705078,-0.007873680200224815
2016-03-01,167.0182647705078,0.023235028436885834
2016-03-02,167.76856994628906,0.004482293532308039
2016-03-03,168.4261474609375,0.003911889861261433
2016-03-04,168.97413635253906,0.003248304164116049
2016-03-07,169.1090545654297,0.0007981362201796822
2016-03-08,167.2627716064453,-0.010977741634194942
2016-03-09,168.08892822265625,0.004927115550499972
2016-03-10,168.2238311767578,0.0008022470606096825
2016-03-11,170.9384765625,0.016008284505505847
2016-03-14,170.7193145751953,-0.0012829329407948941
2016-03-15,170.44110107421875,-0.0016309838415464115
2016-03-16,171.42747497558594,0.005770501927045028
2016-03-17,172.5150146484375,0.006323983399170169
2016-03-18,173.1929168701172,0.003921825499269247
2016-03-21,173.43869018554688,0.0014180666252743847
2016-03-22,173.34548950195312,-0.0005375140580040374
2016-03-23,172.2014923095703,-0.006621394092682026
2016-03-24,172.1251678466797,-0.0004433259051508729
2016-03-28,172.22683715820312,0.0005904964280734828
2016-03-29,173.82000732421875,0.009207894525588707
2016-03-30,174.58267211914062,0.0043780720305540526
