Date,CL=F,return
2016-01-05,35.970001220703125,-0.021724960183111198
2016-01-06,33.970001220703125,-0.05720747353700064
2016-01-07,33.27000045776367,-0.020821714317794546
2016-01-08,33.15999984741211,-0.003311778123908311
2016-01-11,31.40999984741211,-0.05421801697291403
2016-01-12,30.440000534057617,-0.03136875815453056
2016-01-13,30.479999542236328,0.001313165261867518
2016-01-14,31.200000762939453,0.023347403468671816
2016-01-15,29.420000076293945,-0.05874340150206447
2016-01-19,28.459999084472656,-0.03317515727376945
2016-01-20,26.549999237060547,-0.06946984154079178
2016-01-21,29.530000686645508,0.1063770000563053
2016-01-22,32.189998626708984,0.08624908364037424
2016-01-25,30.34000015258789,-0.05918882369902669
2016-01-26,31.450000762939453,0.03593202845560458
2016-01-27,32.29999923706055,0.026668199202938777
2016-01-28,33.220001220703125,0.028084934322984343
2016-01-29,33.619998931884766,0.011968955279057704
2016-02-01,31.6200008392334,-0.061331237887689696
2016-02-02,29.8799991607666,-0.05660052614472392
2016-02-03,32.279998779296875,0.07725847340784311
2016-02-04,31.719999313354492,-0.017500430466102484
2016-02-05,30.889999389648438,-0.02651488794794499
2016-02-08,29.690000534057617,-0.03962218040815522
2016-02-09,27.940000534057617,-0.06075093382020128
2016-02-10,27.450000762939453,-0.01769317719393522
2016-02-11,26.209999084472656,-0.04622521334447141
2016-02-12,29.440000534057617,0.11621332959636449
2016-02-16,29.040000915527344,-0.013680090518200882
2016-02-17,30.65999984741211,0.05428464698387549
2016-02-18,30.770000457763672,0.003581335744003713
2016-02-19,29.639999389648438,-0.03741542437516982
2016-02-22,31.479999542236328,0.06022762917206164
2016-02-23,31.8700008392334,0.012312745754476653
2016-02-24,32.150001525878906,0.008747343382602189
2016-02-25,33.06999969482422,0.02821401962065685
2016-02-26,32.779998779296875,-0.008807981689107937
2016-02-29,33.75,0.029161881242121386
2016-03-01,34.400001525878906,0.019076191417757765
2016-03-02,34.65999984741211,0.007529671148743028
2016-03-03,34.56999969482422,-0.002600034779269937
2016-03-04,35.91999816894531,0.03830794735231786
2016-03-07,37.900001525878906,0.0536569598909495
2016-03-08,36.5,-0.037638891760591174
2016-03-09,38.290000915527344,0.04787652881110815
2016-03-10,37.84000015258789,-0.011822041183426902
2016-03-11,38.5,0.017291493077611454
2016-03-14,37.18000030517578,-0.0348872507923776
2016-03-15,36.34000015258789,-0.022851923334439504
2016-03-16,38.459999084472656,0.05669964918904895
2016-03-17,40.20000076293945,0.0442482982475982
2016-03-18,39.439998626708984,-0.01908651968888647
2016-03-21,39.90999984741211,0.011846420322660572
2016-03-22,41.45000076293945,0.03786098475022035
2016-03-23,39.790000915527344,-0.040872252539745434
2016-03-24,39.459999084472656,-0.008328170054751304
2016-03-28,39.38999938964844,-0.0017755159053412942
2016-03-29,38.279998779296875,-0.028584426791768584
2016-03-30,38.31999969482422,0.001044410442825651
2016-03-31,38.34000015258789,0.0005217964585776709
2016-04-01,36.790000915527344,-0.04126764759545459
2016-04-04,35.70000076293945,-0.030075383845459217
2016-04-05,35.88999938964844,0.00530797799689616
2016-04-06,37.75,0.050526787541691306
2016-04-07,37.2599983215332,-0.01306515556901043
2016-04-08,39.720001220703125,0.06393454978365512
2016-04-11,40.36000061035156,0.015984340698414506
2016-04-12,42.16999816894531,0.04386981372958524
2016-04-13,41.7599983215332,-0.009770120956466156
2016-04-14,41.5,-0.006245476144559437
2016-04-15,40.36000061035156,-0.02785421662855961
2016-04-18,39.779998779296875,-0.014474967868620355
2016-04-19,41.08000183105469,0.032157186893782885
2016-04-20,42.630001068115234,0.03703682619934608
2016-04-21,43.18000030517578,0.012819176321585874
2016-04-22,43.72999954223633,0.012656922802686722
2016-04-25,42.63999938964844,-0.025241589413346262
2016-04-26,44.040000915527344,0.032305567099492075
2016-04-27,45.33000183105469,0.02887077270361954
2016-04-28,46.029998779296875,0.015324225962781376
