Date,ZN=F,return
2010-01-05,116.203125,0.005798681206722915
2010-01-06,115.96875,-0.002018979082757316
2010-01-07,115.84375,-0.0010784579098652783
2010-01-08,116.03125,0.0016172510263478682
2010-01-11,116.03125,0.0
2010-01-12,116.75,0.00617534517165306
2010-01-13,116.390625,-0.0030829057324022443
2010-01-14,116.75,0.0030829057324021684
2010-01-15,117.28125,0.004539999786287681
2010-01-19,117.078125,-0.0017334493306553817
2010-01-20,117.40625,0.00279869576960359
2010-01-21,117.8125,0.0034542348680876036
2010-01-22,117.90625,0.0007954395222539711
2010-01-25,117.734375,-0.0014587894636599842
2010-01-26,117.828125,0.0007959671420512902
2010-01-27,117.65625,-0.0014597574087077641
2010-01-28,117.703125,0.0003983270317553965
2010-01-29,118.15625,0.0038423366251834692
2010-02-01,117.859375,-0.002515724597247247
2010-02-02,118.015625,0.0013248544598170047
2010-02-03,117.578125,-0.0037140246963714815
2010-02-04,118.25,0.005698021114637796
2010-02-05,118.859375,0.005140044265587066
2010-02-08,118.484375,-0.0031599762963656314
2010-02-09,118.234375,-0.0021122120064139566
2010-02-10,117.90625,-0.0027790661702657648
2010-02-11,117.765625,-0.0011933966807858279
2010-02-12,118.078125,0.00265006117724999
2010-02-16,118.3125,0.0019829473084935984
2010-02-17,117.671875,-0.005429398227861744
2010-02-18,117.203125,-0.003991490131715473
2010-02-19,117.1875,-0.0001333244452344963
2010-02-22,117.1875,0.0
2010-02-23,118.046875,0.007306575182438215
2010-02-24,118.078125,0.00026469031387984333
2010-02-25,118.5625,0.004093766034184852
2010-02-26,118.90625,0.002895119800826673
2010-03-01,118.875,-0.0002628466305052554
2010-03-02,118.890625,0.00013143195129662459
2010-03-03,118.90625,0.00013141467920878473
2010-03-04,118.96875,0.0005254860867110792
2010-03-05,118.5,-0.0039478930075849345
2010-03-08,118.375,-0.0010554090689436032
2010-03-09,118.515625,0.0011872569167184013
2010-03-10,118.34375,-0.001451283320892434
2010-03-11,118.25,-0.0007924977300259092
2010-03-12,118.25,0.0
2010-03-15,118.3125,0.0005284015974993237
2010-03-16,118.765625,0.0038225842368270124
2010-03-17,118.765625,0.0
2010-03-18,118.5,-0.002239052631182716
2010-03-19,118.359375,-0.0011874135572877919
2010-03-22,118.640625,0.002373418835663855
2010-03-23,117.28125,-0.011524069518267578
2010-03-24,116.09375,-0.010176841983161315
2010-03-25,115.546875,-0.004721762566904699
2010-03-26,115.953125,0.0035097228252333494
2010-03-29,115.9375,-0.00013476180870740956
2010-03-30,115.9375,0.0
2010-03-31,116.25,0.002691791665711353
2010-04-01,116.03125,-0.001883493090112113
2010-04-05,115.0,-0.008927423014103476
2010-04-06,115.21875,0.001900367071167792
2010-04-07,116.015625,0.006892384876810554
2010-04-08,115.8125,-0.0017523762656499423
2010-04-09,115.90625,0.0008091706442856756
2010-04-12,116.25,0.002961369777601473
2010-04-13,116.578125,0.002818604644376905
2010-04-14,116.28125,-0.0025498235649465094
2010-04-15,116.390625,0.0009401652697085726
2010-04-16,117.078125,0.005889456188034452
2010-04-19,116.796875,-0.002405132105423513
2010-04-20,116.765625,-0.0002675943285970502
2010-04-21,117.1875,0.003606495594111804
2010-04-22,116.828125,-0.0030713785244862613
2010-04-23,116.453125,-0.003215006118221754
