Date,USO ,return
2010-01-05,323.2799987792969,0.003470489083664195
2010-01-06,327.760009765625,0.01376284603943855
2010-01-07,325.760009765625,-0.006120719133586039
2010-01-08,327.44000244140625,0.005143895740111809
2010-01-11,324.32000732421875,-0.009574134353190569
2010-01-12,317.0400085449219,-0.022702729452630736
2010-01-13,313.67999267578125,-0.010654641199624766
2010-01-14,312.4800109863281,-0.0038328323478747234
2010-01-15,307.20001220703125,-0.017041461276922153
2010-01-19,311.44000244140625,0.013707670131344342
2010-01-20,303.1199951171875,-0.027077960539458334
2010-01-21,297.9200134277344,-0.01730371144151979
2010-01-22,290.7200012207031,-0.024464430313555042
2010-01-25,294.4800109863281,0.012850517531560475
2010-01-26,292.0,-0.008457324110036
2010-01-27,288.6400146484375,-0.011573514644171418
2010-01-28,289.2799987792969,0.0022147853599034494
2010-01-29,285.1199951171875,-0.014484945827034211
2010-02-01,293.760009765625,0.029853013518694543
2010-02-02,300.239990234375,0.021818981625028034
2010-02-03,301.20001220703125,0.0031924141530274585
2010-02-04,286.3999938964844,-0.05038512267839744
2010-02-05,281.67999267578125,-0.01661776493044826
2010-02-08,280.7200012207031,-0.003413913221452227
2010-02-09,289.67999267578125,0.03141910455012744
2010-02-10,292.0799865722656,0.00825085120102461
2010-02-11,294.239990234375,0.007368036292108124
2010-02-12,290.4800109863281,-0.012860962739323219
2010-02-16,302.32000732421875,0.03995131834057346
2010-02-17,303.760009765625,0.0047518648047512385
2010-02-18,309.8399963378906,0.019818075314446574
2010-02-19,312.7200012207031,0.009252202001061034
2010-02-22,312.239990234375,-0.0015361337918639577
2010-02-23,306.6400146484375,-0.01809762275324086
2010-02-24,311.9200134277344,0.017072318879892707
2010-02-25,304.8800048828125,-0.022828515141862116
2010-02-26,310.55999755859375,0.018458838978269894
2010-03-01,306.79998779296875,-0.012181081854534271
2010-03-02,310.3999938964844,0.01166573894081264
2010-03-03,315.20001220703125,0.01534562806593886
2010-03-04,313.20001220703125,-0.006365393619771447
2010-03-05,318.79998779296875,0.017721905533654225
2010-03-08,318.32000732421875,-0.0015067194978432839
2010-03-09,316.3999938964844,-0.00604997252465953
2010-03-10,319.20001220703125,0.008810687215237933
2010-03-11,320.3999938964844,0.0037522923262975913
2010-03-12,316.0799865722656,-0.013574892523470721
2010-03-15,310.6400146484375,-0.017360571041977697
2010-03-16,318.32000732421875,0.024422456548572453
2010-03-17,321.8399963378906,0.010997327135214468
2010-03-18,319.3599853515625,-0.007735569007873517
2010-03-19,313.6000061035156,-0.018200639316000914
2010-03-22,316.4800109863281,0.009141775209483836
2010-03-23,317.6000061035156,0.0035326654421215073
2010-03-24,311.5199890136719,-0.019329242233556854
2010-03-25,311.20001220703125,-0.0010276748271275153
2010-03-26,310.6400146484375,-0.0018010989508332512
2010-03-29,319.67999267578125,0.02868573997001251
2010-03-30,319.6000061035156,-0.0002502395596162493
2010-03-31,322.32000732421875,0.00847463061705272
2010-04-01,329.9200134277344,0.023305377922034912
2010-04-05,336.55999755859375,0.01992619049970037
2010-04-06,336.1600036621094,-0.0011891840376277436
2010-04-07,332.1600036621094,-0.011970456428032019
2010-04-08,331.5199890136719,-0.001928685070804626
2010-04-09,329.3599853515625,-0.006536773505612794
2010-04-12,327.44000244140625,-0.0058464933459991455
2010-04-13,327.1199951171875,-0.0009777785104729854
2010-04-14,334.0799865722656,0.021053383931331958
2010-04-15,333.67999267578125,-0.001198017122186881
2010-04-16,324.79998779296875,-0.026972857234563274
2010-04-19,320.8800048828125,-0.01214233402555809
2010-04-20,322.3999938964844,0.004725755022233129
2010-04-21,322.1600036621094,-0.0007446637904122197
2010-04-22,322.3999938964844,0.0007446637904123018
2010-04-23,327.6000061035156,0.01600037890894122
2010-04-26,322.79998779296875,-0.014760472030203217
2010-04-27,314.9599914550781,-0.02458727907441053
2010-04-28,319.760009765625,0.0151251254382507
2010-04-29,328.32000732421875,0.02641801990696977
2010-04-30,330.6400146484375,0.00704144965623805
2010-05-03,331.67999267578125,0.0031404120985264643
2010-05-04,317.6000061035156,-0.04337787801468644
2010-05-05,306.4800109863281,-0.035640212351403286
2010-05-06,295.67999267578125,-0.035874772556638145
2010-05-07,290.4800109863281,-0.017742998755188633
2010-05-10,297.8399963378906,0.025021652341533064
2010-05-11,294.0799865722656,-0.012704623761722322
2010-05-12,294.1600036621094,0.00027205593521582275
2010-05-13,289.0400085449219,-0.017558733039899355
2010-05-14,278.4800109863281,-0.03721883344826466
2010-05-17,271.0400085449219,-0.02707983996411889
2010-05-18,267.760009765625,-0.012175349615481883
2010-05-19,268.0799865722656,0.0011942999658882498
2010-05-20,257.6000061035156,-0.03987737541654894
2010-05-21,258.1600036621094,0.002171544005161297
2010-05-24,257.3599853515625,-0.003103735916443866
2010-05-25,254.8000030517578,-0.009996890337607981
2010-05-26,260.7200012207031,0.022968103536272842
2010-05-27,274.4800109863281,0.05143139936481059
2010-05-28,272.32000732421875,-0.007900566295521194
2010-06-01,265.44000244140625,-0.025589036640925177
2010-06-02,270.32000732421875,0.01821763386094148
2010-06-03,274.0799865722656,0.013813516083124975
2010-06-04,261.44000244140625,-0.04721516457384075
2010-06-07,260.7200012207031,-0.0027577817985898092
2010-06-08,265.5199890136719,0.018243086823715914
2010-06-09,271.6000061035156,0.02264029212191597
2010-06-10,278.1600036621094,0.02386608270809962
2010-06-11,273.8399963378906,-0.01565252001632594
2010-06-14,274.6400146484375,0.0029172216375455565
2010-06-15,281.8399963378906,0.02587831855310294
2010-06-16,283.9200134277344,0.0073530345929105475
2010-06-17,281.1199951171875,-0.009910948562669612
2010-06-18,283.2799987792969,0.007654196424825769
2010-06-21,282.6400146484375,-0.002261748616392896
2010-06-22,280.0,-0.009384451708830654
2010-06-23,273.9200134277344,-0.021953461195231137
2010-06-24,275.1199951171875,0.004371206402054936
2010-06-25,285.2799987792969,0.036263801459791876
2010-06-28,281.67999267578125,-0.01269950099098115
2010-06-29,273.3599853515625,-0.029982094624465654
2010-06-30,271.67999267578125,-0.006164678056427506
2010-07-01,262.9599914550781,-0.032622979303166905
2010-07-02,260.79998779296875,-0.008248113614428553
2010-07-06,260.8800048828125,0.00030676695136741094
2010-07-07,269.20001220703125,0.03139409291839301
2010-07-08,273.8399963378906,0.01708933773260209
2010-07-09,274.7200012207031,0.003208420743852132
2010-07-12,270.239990234375,-0.0164419846699806
2010-07-13,277.9200134277344,0.028022933885270555
2010-07-14,277.2799987792969,-0.0023055292430244926
2010-07-15,276.6400146484375,-0.002310746678633241
2010-07-16,273.2799987792969,-0.01222016875289593
2010-07-19,275.67999267578125,0.008743840078445081
2010-07-20,278.55999755859375,0.010392721043705448
2010-07-21,273.6000061035156,-0.017966259198930596
2010-07-22,283.3599853515625,0.03505091428245355
2010-07-23,283.1199951171875,-0.0008473035482535107
2010-07-26,282.79998779296875,-0.0011309279332408103
2010-07-27,277.3599853515625,-0.01942364229456585
2010-07-28,274.8800048828125,-0.008981592003636057
2010-07-29,280.4800109863281,0.020167803783338042
2010-07-30,282.7200012207031,0.007954552546435083
2010-08-02,291.8399963378906,0.03174868144852336
2010-08-03,295.2799987792969,0.011718360250070038
2010-08-04,295.20001220703125,-0.0002709205096418676
2010-08-05,293.67999267578125,-0.005162419828923534
2010-08-06,289.6000061035156,-0.013990032661888323
2010-08-09,292.239990234375,0.009074667483334282
2010-08-10,286.9599914550781,-0.018232545623941315
2010-08-11,277.9200134277344,-0.03200945263872955
2010-08-12,271.3599853515625,-0.023887052185928303
2010-08-13,270.32000732421875,-0.0038398291213135767
2010-08-16,268.8800048828125,-0.005341267923987627
2010-08-17,270.9599914550781,0.007705975397113658
2010-08-18,269.44000244140625,-0.0056254368587835635
2010-08-19,266.0,-0.012849431333301404
2010-08-20,263.6000061035156,-0.00906348299888735
2010-08-23,259.44000244140625,-0.01590735437345694
2010-08-24,254.16000366210938,-0.020561467039417115
2010-08-25,258.9599914550781,0.01870957225097821
2010-08-26,260.9599914550781,0.007693529507604789
2010-08-27,268.55999755859375,0.02870723745252955
2010-08-30,264.1600036621094,-0.01651934954600789
2010-08-31,255.36000061035156,-0.033880677383437106
2010-09-01,263.6000061035156,0.03175850913120666
2010-09-02,267.1199951171875,0.013265151573115483
2010-09-03,264.7200012207031,-0.00902530913127123
2010-09-07,262.1600036621094,-0.009717649865110861
2010-09-08,265.1199951171875,0.01122751690134
2010-09-09,263.1199951171875,-0.007572351937443398
2010-09-10,270.1600036621094,0.026404206309205737
2010-09-13,272.239990234375,0.007669604688620252
2010-09-14,271.1199951171875,-0.004122485032255531
2010-09-15,267.9200134277344,-0.011873030684617118
2010-09-16,263.8399963378906,-0.015345633673144982
2010-09-17,261.20001220703125,-0.010056400794552318
2010-09-20,265.760009765625,0.01730723847431653
2010-09-21,261.20001220703125,-0.017307238474316533
2010-09-22,260.6400146484375,-0.002146243081163051
2010-09-23,261.3599853515625,0.0027585101903030407
2010-09-24,267.20001220703125,0.022098776101649016
2010-09-27,265.9200134277344,-0.004801925185013666
2010-09-28,265.5199890136719,-0.0015054361274048893
2010-09-29,271.5199890136719,0.02234563498853084
2010-09-30,278.7200012207031,0.02617193702021441
2010-10-01,285.0400085449219,0.022421853231741375
2010-10-04,284.7200012207031,-0.0011233057862364663
2010-10-05,288.7200012207031,0.013951119073197503
2010-10-06,290.239990234375,0.005250768717532034
2010-10-07,283.67999267578125,-0.02286131677274446
2010-10-08,289.20001220703125,0.019271715986956973
2010-10-11,284.79998779296875,-0.015331395818207624
2010-10-12,285.20001220703125,0.0014035946657396275
2010-10-13,289.2799987792969,0.014204341642221542
2010-10-14,288.0,-0.004434592848067865
2010-10-15,283.760009765625,-0.014831635255493476
2010-10-18,290.239990234375,0.022579288399595315
2010-10-19,276.9599914550781,-0.04683507270469786
2010-10-20,284.7200012207031,0.02763318491396824
2010-10-21,278.79998779296875,-0.021011610387137114
2010-10-22,283.9200134277344,0.018197920530135758
2010-10-25,284.55999755859375,0.0022515634282993177
2010-10-26,285.44000244140625,0.0030877388841611363
2010-10-27,283.3599853515625,-0.007313735605757477
2010-10-28,283.1199951171875,-0.0008473035482535107
2010-10-29,281.3599853515625,-0.006235882688011587
2010-11-01,286.4800109863281,0.018033827936793884
2010-11-02,290.1600036621094,0.012763743556098349
2010-11-03,293.9200134277344,0.012875159556164775
2010-11-04,299.9200134277344,0.020208150046897393
2010-11-05,301.20001220703125,0.004258719255020811
2010-11-08,300.239990234375,-0.0031924141530275366
2010-11-09,296.3999938964844,-0.012872249470928802
2010-11-10,304.32000732421875,0.02636993059474216
2010-11-11,302.7200012207031,-0.005271513528552897
2010-11-12,291.760009765625,-0.03687670992410673
2010-11-15,292.0,0.0008222222964255216
2010-11-16,283.6000061035156,-0.029188986088745334
2010-11-17,277.8399963378906,-0.020519420924359294
2010-11-18,284.0,0.02192884290602882
2010-11-19,281.760009765625,-0.00791855875393745
2010-11-22,280.3999938964844,-0.004838546014007975
2010-11-23,279.6000061035156,-0.0028571012041507075
2010-11-24,288.6400146484375,0.03182025543500028
2010-11-26,287.760009765625,-0.003053454300041633
2010-11-29,294.239990234375,0.02226889434262342
2010-11-30,288.32000732421875,-0.020324727843629896
2010-12-01,297.6000061035156,0.03167932364499955
2010-12-02,302.1600036621094,0.015206367055908613
2010-12-03,306.4800109863281,0.014195845715225475
2010-12-06,305.760009765625,-0.0023520238083759946
2010-12-07,302.3999938964844,-0.01104988830902533
2010-12-08,303.67999267578125,0.004223867181556006
2010-12-09,303.5199890136719,-0.0005270213130363296
2010-12-10,301.2799987792969,-0.007407409133194721
2010-12-13,303.1199951171875,0.006088689744712827
2010-12-14,303.20001220703125,0.0002639434270407325
2010-12-15,303.9200134277344,0.002371859032301767
2010-12-16,302.1600036621094,-0.005807862537204573
2010-12-17,302.4800109863281,0.0010585053795479015
2010-12-20,304.3999938964844,0.006327410033041263
2010-12-21,306.32000732421875,0.006287725142830417
2010-12-22,309.1199951171875,0.009099204148915324
2010-12-23,311.8399963378906,0.00876068878739308
2010-12-27,309.67999267578125,-0.006950741397231819
2010-12-28,311.2799987792969,0.005153342136272004
2010-12-29,310.55999755859375,-0.0023157131953412216
2010-12-30,304.9599914550781,-0.018196519113372247
2010-12-31,312.0,0.022822595363457515
2011-01-03,312.3999938964844,0.0012812106185464043
2011-01-04,304.6400146484375,-0.025153598740610097
2011-01-05,308.1600036621094,0.01148834080613418
2011-01-06,301.44000244140625,-0.02204814100640959
2011-01-07,301.3599853515625,-0.0002654847111284413
2011-01-10,305.3599853515625,0.013185845689916098
2011-01-11,311.0400085449219,0.018430188278242693
2011-01-12,311.9200134277344,0.0028252389788156304
2011-01-13,309.20001220703125,-0.008758431530320627
2011-01-14,311.3599853515625,0.006961395758344459
2011-01-18,309.8399963378906,-0.004893728563872691
2011-01-19,308.32000732421875,-0.004917794965834106
2011-01-20,300.55999755859375,-0.025490835278450932
2011-01-21,300.0799865722656,-0.0015983321164063386
2011-01-24,295.44000244140625,-0.015583282218513154
2011-01-25,290.1600036621094,-0.018033271212288805
2011-01-26,294.79998779296875,0.01586461131169377
2011-01-27,287.5199890136719,-0.0250047340827495
2011-01-28,300.6400146484375,0.04462119956474299
2011-01-31,308.8800048828125,0.027039283374767947
2011-02-01,304.55999755859375,-0.014084763706035154
2011-02-02,305.44000244140625,0.002885263912450147
2011-02-03,304.7200012207031,-0.0023600417941855344
2011-02-04,298.7200012207031,-0.019886642296473134
2011-02-07,293.2799987792969,-0.018378903950708233
2011-02-08,293.1199951171875,-0.0005457151014515147
2011-02-09,292.0,-0.003828262559416867
2011-02-10,292.32000732421875,0.0010953154168974236
2011-02-11,288.3999938964844,-0.013500733437754413
2011-02-14,287.0400085449219,-0.004726775607895993
2011-02-15,283.1199951171875,-0.013750789848762499
2011-02-16,284.239990234375,0.0039480985650351946
2011-02-17,288.4800109863281,0.014806880182705049
2011-02-18,290.8800048828125,0.008285030236953964
2011-02-22,307.9200134277344,0.056929224807896056
2011-02-23,318.3999938964844,0.03346838221753807
2011-02-24,311.760009765625,-0.021074742446265775
2011-02-25,317.44000244140625,0.018055139432800935
2011-02-28,313.5199890136719,-0.012425712937927812
2011-03-01,323.8399963378906,0.03238643650115279
2011-03-02,331.1199951171875,0.022231277343468768
2011-03-03,329.44000244140625,-0.005086582003867676
2011-03-04,338.6400146484375,0.02754338877907779
2011-03-07,338.9599914550781,0.0009444416397359005
2011-03-08,338.4800109863281,-0.0014170422394227844
2011-03-09,336.3999938964844,-0.00616412891447959
2011-03-10,331.20001220703125,-0.015578450587084989
2011-03-11,325.5199890136719,-0.017298589424734803
2011-03-14,327.2799987792969,0.005392199947952311
2011-03-15,315.1199951171875,-0.03786256672373862
2011-03-16,317.44000244140625,0.007335328619868756
2011-03-17,325.5199890136719,0.025135038155917704
2011-03-18,327.760009765625,0.006857793090315908
2011-03-21,329.0400085449219,0.0038976868577543593
2011-03-22,335.44000244140625,0.019263760249309776
2011-03-23,336.8800048828125,0.004283688207163711
2011-03-24,336.3999938964844,-0.0014258883927239375
2011-03-25,337.44000244140625,0.0030868140103796704
2011-03-28,331.3599853515625,-0.018182370525291938
2011-03-29,334.6400146484375,0.009850017467406616
2011-03-30,333.2799987792969,-0.004072397057695098
2011-03-31,340.79998779296875,0.022312785286439957
2011-04-01,345.3599853515625,0.013291549695834768
2011-04-04,346.0799865722656,0.0020826145729967694
2011-04-05,344.79998779296875,-0.0037054200189235074
2011-04-06,346.9599914550781,0.006244971512821841
2011-04-07,351.9200134277344,0.014194440296971447
2011-04-08,361.20001220703125,0.026027940142489443
2011-04-11,349.1199951171875,-0.03401616667994929
