Date,ZB=F,return
2010-01-05,116.03125,0.008112537732014698
2010-01-06,115.3125,-0.006213717142507222
2010-01-07,115.28125,-0.000271039437897252
2010-01-08,115.46875,0.0016251357856264974
2010-01-11,115.1875,-0.0024386951525335876
2010-01-12,116.8125,0.014008849785739618
2010-01-13,115.9375,-0.00751883241402734
2010-01-14,116.78125,0.007251273884003055
2010-01-15,117.375,0.00507141084266954
2010-01-19,117.15625,-0.0018654235922415355
2010-01-20,117.96875,0.006911244947213013
2010-01-21,118.625,0.005547498046693443
2010-01-22,118.84375,0.0018423481984412061
2010-01-25,118.3125,-0.004480176158991476
2010-01-26,118.28125,-0.0002641658977190367
2010-01-27,118.34375,0.0005282620302456499
2010-01-28,118.15625,-0.0015856240108619278
2010-01-29,118.8125,0.005538719157441564
2010-02-01,118.15625,-0.005538719157441645
2010-02-02,118.40625,0.0021136071276678724
2010-02-03,117.375,-0.008747570690447265
2010-02-04,118.78125,0.011909628661095288
2010-02-05,119.5,0.00603280518204313
2010-02-08,118.9375,-0.004718226315197054
2010-02-09,118.3125,-0.005268716086826609
2010-02-10,117.5625,-0.006359321908292504
2010-02-11,117.25,-0.002661699734860368
2010-02-12,117.5625,0.0026616997348603874
2010-02-16,117.8125,0.0021242705810808112
2010-02-17,116.8125,-0.008524292426548346
2010-02-18,116.1875,-0.005364819734118816
2010-02-19,116.78125,0.005097261204094605
2010-02-22,116.375,-0.0034847910885261553
2010-02-23,117.875,0.012807005356390393
2010-02-24,117.71875,-0.0013264360613070073
2010-02-25,118.40625,0.005823203326559686
2010-02-26,119.1875,0.006576375141763499
2010-03-01,118.96875,-0.0018370297778670568
2010-03-02,118.84375,-0.0010512484542376597
2010-03-03,118.78125,-0.0005260389390109633
2010-03-04,119.3125,0.00446253529644409
2010-03-05,118.1875,-0.009473755067290155
2010-03-08,117.90625,-0.0023825292540923045
2010-03-09,117.96875,0.0005299417188145962
2010-03-10,117.84375,-0.0010601644247679608
2010-03-11,118.125,0.0023837913552761975
2010-03-12,118.46875,0.0029058269027015297
2010-03-15,118.4375,-0.0002638174398628405
2010-03-16,119.1875,0.0063124880838923885
2010-03-17,119.4375,0.0020953386398540096
2010-03-18,119.25,-0.0015710922320412123
2010-03-19,119.4375,0.0015710922320411461
2010-03-22,119.4375,0.0
2010-03-23,117.71875,-0.014494917108177243
2010-03-24,115.84375,-0.016056004541308778
2010-03-25,115.03125,-0.007038469771711161
2010-03-26,115.4375,0.00352542738016414
2010-03-29,115.5,0.0005412720023895905
2010-03-30,115.65625,0.0013518996245811723
2010-03-31,116.125,0.004044767547573183
2010-04-01,115.90625,-0.001885522444138288
2010-04-05,114.375,-0.013299151094178827
2010-04-06,114.40625,0.00027318672482419494
2010-04-07,115.6875,0.011136880013206667
2010-04-08,115.40625,-0.002434078280879641
2010-04-09,115.65625,0.002163917533592824
2010-04-12,116.25,0.005120614881036161
2010-04-13,116.625,0.003220614700042157
2010-04-14,115.9375,-0.005912406365753636
2010-04-15,116.03125,0.0008082985755993051
2010-04-16,116.875,0.007245436231497613
2010-04-19,116.5,-0.0032137146030957833
2010-04-20,116.75,0.002143623543251369
2010-04-21,117.59375,0.007200991244704014
2010-04-22,117.28125,-0.0026609914584163827
2010-04-23,116.875,-0.003469908726443254
2010-04-26,116.875,0.0
2010-04-27,118.4375,0.013280407667894466
2010-04-28,117.53125,-0.007681139606135649
2010-04-29,118.21875,0.005832466162692846
2010-04-30,119.0625,0.007111843487717374
2010-05-03,118.71875,-0.002891314933121042
2010-05-04,120.0,0.01073449239414693
2010-05-05,120.53125,0.0044173126264552215
2010-05-06,123.34375,0.023066117454619315
2010-05-07,122.0,-0.010954128129864033
2010-05-10,120.84375,-0.009522655925685991
2010-05-11,120.78125,-0.0005173305857747766
2010-05-12,120.3125,-0.0038885337396924805
2010-05-13,120.53125,0.0018165309263977853
2010-05-14,122.03125,0.012368104065558487
2010-05-17,121.4375,-0.004877432336400897
2010-05-18,122.6875,0.010240744899021038
2010-05-19,122.78125,0.0007638447220532828
2010-05-20,124.03125,0.010129233224605577
2010-05-21,124.875,0.006779686985378769
2010-05-24,124.375,-0.004012041489960769
2010-05-25,125.25,0.007010544486217302
2010-05-26,124.46875,-0.006257059583056471
2010-05-27,122.9375,-0.012378584232639869
2010-05-28,123.21875,0.0022851349286227987
2010-06-01,123.34375,0.0010139417852198555
2010-06-02,122.90625,-0.003553303231037569
2010-06-03,122.5,-0.0033108396473013374
2010-06-04,124.90625,0.01945242592681523
2010-06-07,124.8125,-0.0007508447355630194
2010-06-08,125.09375,0.0022508450168131603
2010-06-09,124.875,-0.0017502192241295024
2010-06-10,123.09375,-0.0143669767975383
2010-06-11,124.6875,0.012864346913003357
2010-06-14,123.8125,-0.007042282625412923
2010-06-15,123.3125,-0.004046540675935548
