Date,AAPL,return
2010-01-05,6.417555332183838,0.0017272289155729472
2010-01-06,6.3154778480529785,-0.0160338341303525
2010-01-07,6.303801536560059,-0.001850551758022779
2010-01-08,6.345712661743164,0.0066265435793856535
2010-01-11,6.289732933044434,-0.008860802659236148
2010-01-12,6.218184471130371,-0.011440632361677232
2010-01-13,6.305896759033203,0.01400721065223549
2010-01-14,6.2693772315979,-0.005808164518290449
2010-01-15,6.164603233337402,-0.01685324799643137
2010-01-19,6.437314033508301,0.04328760096254766
2010-01-20,6.33822774887085,-0.015512183080314615
2010-01-21,6.228662967681885,-0.0174374966557083
2010-01-22,5.919731616973877,-0.050870584940230286
2010-01-25,6.078986167907715,0.026546820476952008
2010-01-26,6.164902210235596,0.014034341029243152
2010-01-27,6.2229766845703125,0.009376084521945681
2010-01-28,5.965831279754639,-0.042199953529007496
2010-01-29,5.749398231506348,-0.03695321145445683
2010-02-01,5.829324722290039,0.013805971630898918
2010-02-02,5.863152503967285,0.005786263322046945
2010-02-03,5.9640350341796875,0.017059842265592883
2010-02-04,5.749098777770996,-0.03670416293638139
2010-02-05,5.851179122924805,0.017600092183250343
2010-02-08,5.811066150665283,-0.0068791436821873135
2010-02-09,5.8730316162109375,0.010606903115701446
2010-02-10,5.841000080108643,-0.005468931068166137
2010-02-11,5.94727087020874,0.01803040828404023
2010-02-12,5.998459815979004,0.008570301881724222
2010-02-16,6.088866710662842,0.014959235262907877
2010-02-17,6.063421249389648,-0.004187770820465936
2010-02-18,6.074795246124268,0.0018740809356600243
2010-02-19,6.037078380584717,-0.006228101220226199
2010-02-22,5.999658107757568,-0.006217697532585855
2010-02-23,5.899074554443359,-0.016907002134589618
2010-02-24,6.006843566894531,0.018103930297266566
2010-02-25,6.0469560623168945,0.0066556015079400534
2010-02-26,6.1253862380981445,0.012886798489239086
2010-03-01,6.256206035614014,0.021132123058251483
2010-03-02,6.252016067504883,-0.0006699542479029519
2010-03-03,6.266382217407227,0.002295206764010169
2010-03-04,6.307693004608154,0.00657081099104281
2010-03-05,6.554362773895264,0.03836089998047789
2010-03-08,6.558254718780518,0.00059361832246166
2010-03-09,6.676199913024902,0.01782443178962897
2010-03-10,6.7306809425354,0.008127368325038162
2010-03-11,6.750439167022705,0.0029312458421782554
2010-03-12,6.783368110656738,0.004866185536341051
2010-03-15,6.700747489929199,-0.012254664250485771
2010-03-16,6.7190070152282715,0.0027212921906073534
2010-03-17,6.709127902984619,-0.0014714052377649276
2010-03-18,6.724995136260986,0.0023622294672224218
2010-03-19,6.6531476974487305,-0.010741121614171774
2010-03-22,6.727988243103027,0.011186094570284796
2010-03-23,6.836053848266602,0.015934467171255656
2010-03-24,6.8662896156311035,0.004413232892369588
2010-03-25,6.784863471984863,-0.011929704226560256
2010-03-26,6.912091255187988,0.018578062795168566
2010-03-29,6.956694602966309,0.006432214328927574
2010-03-30,7.060272216796875,0.014779160209430257
2010-03-31,7.034826278686523,-0.0036106119815155374
2010-04-01,7.063863277435303,0.004119111877636413
2010-04-05,7.13930082321167,0.01062273935879913
2010-04-06,7.170733451843262,0.004393096281909735
2010-04-07,7.202462673187256,0.00441506156443328
2010-04-08,7.183004379272461,-0.002705272718774068
